area,perimeter,eccentricity,solidity,extent,circularidade,hu1,hu2,hu3,hu4,hu5,hu6,hu7,mean_h,mean_s,mean_v,contrast,homogeneity,energy,correlation,src
109211.0,1453.75144212722,0.3865217811479612,0.9377554525158853,0.740760084378455,0.6493755469322495,0.7921311616449062,3.7516584430646396,5.111398695276395,6.3565988864081735,9.998705096227285,-8.401653399071764,9.996735596319967,12.308558661673274,179.63225316131158,234.80328904597522,0.09125576810559116,0.9670223042555277,0.6770296829048921,0.9116356902023874,../dataset/freshoranges\rotated_by_15_Screen Shot 2018-06-12 at 11.50.14 PM.png
31181.0,669.0264786586926,0.43286753814883244,0.9894332677540141,0.7814786967418547,0.8754136016534865,0.795443659187484,3.5580455521601912,5.769220663689505,8.133880518446322,9.999998195336923,9.788081332973409,-9.99999700730616,15.435329206888811,177.56021295019403,240.76729418556172,0.1003377853001913,0.9537659381759104,0.6978396240109098,0.8330437072725116,../dataset/freshoranges\rotated_by_15_Screen Shot 2018-06-12 at 11.50.19 PM.png
34376.0,702.7249634685277,0.3721856217288945,0.9904059465844594,0.7724075946522863,0.8747711297355317,0.7967512811334825,3.8483242539192686,5.826902836012055,8.22053092020796,9.999999300703017,9.933423337639367,9.999997690272053,15.236298580404934,175.48481498720037,240.6126076332325,0.09745436399207687,0.9541855665830065,0.7470494788974652,0.7993931576476122,../dataset/freshoranges\rotated_by_15_Screen Shot 2018-06-12 at 11.50.28 PM.png
30033.0,661.5117600329311,0.19907619741593496,0.9861434903956657,0.747089552238806,0.862449036971006,0.7976224792894341,4.981488021932032,5.161613594836508,8.195081916639886,-9.999994419507946,-9.922200349530126,-9.99999896191009,15.868011853627676,174.01338527619617,241.5648453367962,0.10167288900972526,0.9528183758656468,0.7384115631387923,0.7943087640463833,../dataset/freshoranges\rotated_by_15_Screen Shot 2018-06-12 at 11.50.33 PM.png
95565.0,1206.35447250755,0.3903254341828668,0.9870683867502608,0.7460187353629977,0.8251992998197585,0.7946906073853287,3.7528180598275473,4.370569708562074,6.6953946300739045,9.998772184078204,8.843622308811542,-9.997754743465324,15.699848270810444,179.70768586825722,235.1293988384869,0.0666477916421041,0.971023574508847,0.8379880191903084,0.8910265659505796,../dataset/freshoranges\rotated_by_15_Screen Shot 2018-06-12 at 11.50.54 PM.png
83745.0,1270.0702012600882,0.3552591819738471,0.9372586764557755,0.735224399494311,0.6523990165741297,0.792976022029818,3.903934464480301,5.587603266164294,6.341693347098396,9.99853726931845,-8.390308392771065,9.998437139877575,12.267633888590364,178.71967281628753,234.81906979521165,0.09913118930869483,0.9636029246189072,0.6738047208692479,0.9043878530312851,../dataset/freshoranges\rotated_by_15_Screen Shot 2018-06-12 at 11.51.47 PM.png
86947.0,1188.129075763134,0.5393109548999919,0.9673568384864432,0.7388049555597097,0.7739933294300083,0.7896105290244665,3.111933325582228,5.11741456014062,6.604035285468471,9.999933649355592,9.056285076741476,9.99851548349644,13.658504606254384,164.45831368534854,239.48651477336767,0.09609662894423826,0.9534265625474336,0.6730658110027045,0.8666754018737771,../dataset/freshoranges\rotated_by_15_Screen Shot 2018-06-12 at 11.52.03 PM.png
92765.0,1732.7119036079307,0.5823240877003081,0.8302901741761094,0.6512109512109512,0.38827666881626527,0.736148929764292,2.837187049285401,3.582086313366723,4.100537848134925,-7.986049830758245,-5.566432978778252,-8.283040840701068,14.471686519700318,173.06222174311432,227.06492750498572,0.08303262381006285,0.9683786615617229,0.6560005523410143,0.9365166902430908,../dataset/freshoranges\rotated_by_15_Screen Shot 2018-06-12 at 11.52.12 PM.png
177227.0,1679.876333808248,0.5117086749622761,0.9839603366719225,0.7683740006590014,0.7891964563682726,0.792127592461861,3.2264740288325284,4.937829060836783,7.058908119664884,-9.999835109634596,-9.09500988354311,-9.999657812436983,14.175723789264616,182.78915176581447,239.591884983665,0.04545103692814398,0.9784228039812094,0.7126763434220131,0.9209492505244377,../dataset/freshoranges\rotated_by_15_Screen Shot 2018-06-12 at 11.52.16 PM.png
98672.0,1180.8986283848344,0.3589726297180916,0.995098731317695,0.7765657710409092,0.8891572188421828,0.7970339441640473,3.9152942808057514,6.571276771666353,9.167912479249388,-9.999999979655021,-9.989114971758436,-9.999999976126622,13.1096461002108,182.77076576941786,226.06103048483865,0.08200248236550099,0.9661128217012884,0.6151457215031063,0.9112140404934034,../dataset/freshoranges\rotated_by_15_Screen Shot 2018-06-12 at 11.52.21 PM.png
